,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,LP.8.1.X,XFG.X,NB.1.8.1.X,BA.3.2.X
2022-09-14,0.0011661437500000143,0.06558194125000001,2.3237500000000004e-06,0.04011997666666667,0.010339309583333334,0.0010486225000000003,0.052696301666666674,0.8290359012500002,3.984166666666668e-06,5.476250000000001e-06,0.0,9.166666666666668e-09,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-15,0.003776265000000003,0.05732480666666668,8.906250000000001e-06,0.040616893333333334,0.010340143333333334,0.0010486225000000003,0.04215959458333335,0.84471528875,3.984166666666668e-06,5.476250000000001e-06,0.0,9.166666666666668e-09,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-16,0.003776265000000003,0.05732480666666668,8.906250000000001e-06,0.040616893333333334,0.010340143333333334,0.0010486225000000003,0.04215959458333335,0.84471528875,3.984166666666668e-06,5.476250000000001e-06,0.0,9.166666666666668e-09,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-17,0.003776265000000003,0.05732480666666668,8.906250000000001e-06,0.040616893333333334,0.010340143333333334,0.0010486225000000003,0.04215959458333335,0.84471528875,3.984166666666668e-06,5.476250000000001e-06,0.0,9.166666666666668e-09,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-18,0.003776265000000003,0.05732480666666668,8.906250000000001e-06,0.040616893333333334,0.010340143333333334,0.0010486225000000003,0.04215959458333335,0.84471528875,3.984166666666668e-06,5.476250000000001e-06,0.0,9.166666666666668e-09,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-19,0.003776265000000003,0.05732480666666668,8.906250000000001e-06,0.040616893333333334,0.010340143333333334,0.0010486225000000003,0.04215959458333335,0.84471528875,3.984166666666668e-06,5.476250000000001e-06,0.0,9.166666666666668e-09,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-20,0.0037304688000000057,0.055031814400000004,8.550000000000001e-06,0.03899221759999999,0.0099265376,0.0010066776,0.04671360200000001,0.8445810316000001,3.824800000000001e-06,5.2572e-06,0.0,8.800000000000001e-09,0.0,0.0,9.6e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-21,0.0038743481481481826,0.02444529259259259,7.385925925925927e-06,0.026021136296296293,0.00919068851851852,0.0009321088888888891,0.052483217777777785,0.8830373955555556,3.5414814814814827e-06,4.867777777777779e-06,0.0,8.148148148148149e-09,0.0,0.0,8.888888888888889e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-22,0.0039631235714286134,0.023571147857142854,6.9057142857142875e-06,0.025091809999999996,0.008862449642857144,0.0008988192857142859,0.056371161785714295,0.8812264567857143,3.415000000000001e-06,4.693928571428572e-06,0.0,7.857142857142859e-09,0.0,0.0,8.571428571428572e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-23,0.0039631235714286134,0.023571147857142854,6.9057142857142875e-06,0.025091809999999996,0.008862449642857144,0.0008988192857142859,0.056371161785714295,0.8812264567857143,3.415000000000001e-06,4.693928571428572e-06,0.0,7.857142857142859e-09,0.0,0.0,8.571428571428572e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-24,0.0039631235714286134,0.023571147857142854,6.9057142857142875e-06,0.025091809999999996,0.008862449642857144,0.0008988192857142859,0.056371161785714295,0.8812264567857143,3.415000000000001e-06,4.693928571428572e-06,0.0,7.857142857142859e-09,0.0,0.0,8.571428571428572e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-25,0.0039631235714286134,0.023571147857142854,6.9057142857142875e-06,0.025091809999999996,0.008862449642857144,0.0008988192857142859,0.056371161785714295,0.8812264567857143,3.415000000000001e-06,4.693928571428572e-06,0.0,7.857142857142859e-09,0.0,0.0,8.571428571428572e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-26,0.0039631235714286134,0.023571147857142854,6.9057142857142875e-06,0.025091809999999996,0.008862449642857144,0.0008988192857142859,0.056371161785714295,0.8812264567857143,3.415000000000001e-06,4.693928571428572e-06,0.0,7.857142857142859e-09,0.0,0.0,8.571428571428572e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-27,0.0036016412903226254,0.02131563935483871,6.237419354838711e-06,0.022666655806451608,0.010727523870967743,0.0008118367741935486,0.05091675193548388,0.889946374516129,3.084516129032259e-06,4.23967741935484e-06,0.0,7.096774193548388e-09,0.0,0.0,7.741935483870967e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-28,0.006008914062499996,0.02507733875,7.648750000000002e-06,0.02012803625,0.008729214375000002,0.0013453896875,0.04932333718750001,0.8893692356250001,3.386562500000001e-06,7.030625000000001e-06,4.5375000000000005e-07,6.875000000000001e-09,0.0,0.0,7.500000000000001e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29,0.006001459687500002,0.025083881249999995,7.64875e-06,0.020128036249999995,0.008758334375000001,0.0013453896874999999,0.0393630471875,0.8993017909375001,3.3865625000000007e-06,6.5571875e-06,4.5375e-07,6.875e-09,0.0,0.0,7.5e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,0.006001459687500002,0.025083881249999995,7.64875e-06,0.020128036249999995,0.008758334375000001,0.0013453896874999999,0.0393630471875,0.8993017909375001,3.3865625000000007e-06,6.5571875e-06,4.5375e-07,6.875e-09,0.0,0.0,7.5e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.006001459687500002,0.025083881249999995,7.64875e-06,0.020128036249999995,0.008758334375000001,0.0013453896874999999,0.0393630471875,0.8993017909375001,3.3865625000000007e-06,6.5571875e-06,4.5375e-07,6.875e-09,0.0,0.0,7.5e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-02,0.006001459687500002,0.025083881249999995,7.64875e-06,0.020128036249999995,0.008758334375000001,0.0013453896874999999,0.0393630471875,0.8993017909375001,3.3865625000000007e-06,6.5571875e-06,4.5375e-07,6.875e-09,0.0,0.0,7.5e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-03,0.006001459687500002,0.025083881249999995,7.64875e-06,0.020128036249999995,0.008758334375000001,0.0013453896874999999,0.0393630471875,0.8993017909375001,3.3865625000000007e-06,6.5571875e-06,4.5375e-07,6.875e-09,0.0,0.0,7.5e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-04,0.00600358312500001,0.025084375625000006,7.648750000000002e-06,0.02012803625,0.008758334375000003,0.0013453896875,0.03936933906250001,0.8992944706250001,2.3650000000000007e-06,5.989375000000001e-06,4.537500000000001e-07,6.875000000000002e-09,0.0,0.0,7.500000000000001e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-05,0.005229910625000001,0.02808964375,7.648750000000002e-06,0.0036197878124999932,0.008750360625000002,0.0013440856250000004,0.036353879062500004,0.9165989065625001,2.3650000000000007e-06,2.9440625000000007e-06,4.5375000000000005e-07,6.875000000000001e-09,0.0,0.0,7.500000000000001e-09,0.0,0.0,0.0,0.0,0.0,0.0
